"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6662","test_sauselab_multiple[get_sause_data3]","testcases","Fri May 02 22:41:33 IST 2025","passed","Fri May 02 22:41:39 IST 2025","Test_SampleFunctionality","test_sample","",""
"","5078","test_inputfield_validations","testcases","Fri May 02 22:40:50 IST 2025","passed","Fri May 02 22:40:55 IST 2025","Test_Input_Field_Fn","test_input_fields_fn","",""
"","1636","test_sauselab_multiple[get_sause_data4]","testcases","Fri May 02 22:41:43 IST 2025","passed","Fri May 02 22:41:45 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1714","test_sauselab_multiple[get_sause_data5]","testcases","Fri May 02 22:41:49 IST 2025","passed","Fri May 02 22:41:50 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1523","test_sauselab_multiple[get_sause_data0]","testcases","Fri May 02 22:41:16 IST 2025","passed","Fri May 02 22:41:17 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1","test_addition","testcases","Fri May 02 22:41:02 IST 2025","passed","Fri May 02 22:41:02 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1511","test_sauselabdemo","testcases","Fri May 02 22:41:10 IST 2025","passed","Fri May 02 22:41:12 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1426","test_samplescript[getData0]","testcases","Fri May 02 22:40:57 IST 2025","passed","Fri May 02 22:40:58 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1472","test_sauselab_multiple[get_sause_data1]","testcases","Fri May 02 22:41:21 IST 2025","passed","Fri May 02 22:41:23 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1","test_failure_case","testcases","Fri May 02 22:41:06 IST 2025","failed","Fri May 02 22:41:06 IST 2025","Test_SampleFunctionality","test_sample","",""
"","1472","test_sauselab_multiple[get_sause_data2]","testcases","Fri May 02 22:41:27 IST 2025","passed","Fri May 02 22:41:29 IST 2025","Test_SampleFunctionality","test_sample","",""
